"age","year","unit","season","area","iter","data"
1,1990,"1","1","unique","1",1
2,1990,"1","1","unique","1",1
3,1990,"1","1","unique","1",1
4,1990,"1","1","unique","1",0.11534858036516
5,1990,"1","1","unique","1",0.244838862348532
6,1990,"1","1","unique","1",0.507980156455418
7,1990,"1","1","unique","1",0.695193887785154
8,1990,"1","1","unique","1",1
9,1990,"1","1","unique","1",1
10,1990,"1","1","unique","1",1
11,1990,"1","1","unique","1",1
12,1990,"1","1","unique","1",1
1,1991,"1","1","unique","1",1
2,1991,"1","1","unique","1",0.0472759862179449
3,1991,"1","1","unique","1",0.286505547958151
4,1991,"1","1","unique","1",1
5,1991,"1","1","unique","1",0.541000007973054
6,1991,"1","1","unique","1",1
7,1991,"1","1","unique","1",1
8,1991,"1","1","unique","1",1
9,1991,"1","1","unique","1",1
10,1991,"1","1","unique","1",1
11,1991,"1","1","unique","1",1
12,1991,"1","1","unique","1",1
1,1992,"1","1","unique","1",1
2,1992,"1","1","unique","1",1
3,1992,"1","1","unique","1",0.39376572135186
4,1992,"1","1","unique","1",1
5,1992,"1","1","unique","1",1
6,1992,"1","1","unique","1",1
7,1992,"1","1","unique","1",1
8,1992,"1","1","unique","1",1
9,1992,"1","1","unique","1",1
10,1992,"1","1","unique","1",1
11,1992,"1","1","unique","1",1
12,1992,"1","1","unique","1",1
1,1993,"1","1","unique","1",1
2,1993,"1","1","unique","1",1
3,1993,"1","1","unique","1",1
4,1993,"1","1","unique","1",1
5,1993,"1","1","unique","1",0.448009624659493
6,1993,"1","1","unique","1",1
7,1993,"1","1","unique","1",1
8,1993,"1","1","unique","1",0.637263786823307
9,1993,"1","1","unique","1",1
10,1993,"1","1","unique","1",1
11,1993,"1","1","unique","1",1
12,1993,"1","1","unique","1",1
1,1994,"1","1","unique","1",1
2,1994,"1","1","unique","1",1
3,1994,"1","1","unique","1",0.0798442992990627
4,1994,"1","1","unique","1",1
5,1994,"1","1","unique","1",0.483110067662339
6,1994,"1","1","unique","1",1
7,1994,"1","1","unique","1",0.290735573696631
8,1994,"1","1","unique","1",1
9,1994,"1","1","unique","1",1
10,1994,"1","1","unique","1",0.490787481691096
11,1994,"1","1","unique","1",0.435282989307986
12,1994,"1","1","unique","1",1
1,1995,"1","1","unique","1",1
2,1995,"1","1","unique","1",1
3,1995,"1","1","unique","1",1
4,1995,"1","1","unique","1",1
5,1995,"1","1","unique","1",1
6,1995,"1","1","unique","1",1
7,1995,"1","1","unique","1",1
8,1995,"1","1","unique","1",1
9,1995,"1","1","unique","1",1
10,1995,"1","1","unique","1",1
11,1995,"1","1","unique","1",1
12,1995,"1","1","unique","1",1
1,1996,"1","1","unique","1",1
2,1996,"1","1","unique","1",1
3,1996,"1","1","unique","1",1
4,1996,"1","1","unique","1",1
5,1996,"1","1","unique","1",1
6,1996,"1","1","unique","1",1
7,1996,"1","1","unique","1",1
8,1996,"1","1","unique","1",1
9,1996,"1","1","unique","1",1
10,1996,"1","1","unique","1",1
11,1996,"1","1","unique","1",1
12,1996,"1","1","unique","1",1
1,1997,"1","1","unique","1",1
2,1997,"1","1","unique","1",1
3,1997,"1","1","unique","1",1
4,1997,"1","1","unique","1",1
5,1997,"1","1","unique","1",1
6,1997,"1","1","unique","1",1
7,1997,"1","1","unique","1",1
8,1997,"1","1","unique","1",1
9,1997,"1","1","unique","1",1.27918271573125
10,1997,"1","1","unique","1",1
11,1997,"1","1","unique","1",1
12,1997,"1","1","unique","1",1
1,1998,"1","1","unique","1",1
2,1998,"1","1","unique","1",1
3,1998,"1","1","unique","1",1
4,1998,"1","1","unique","1",1
5,1998,"1","1","unique","1",1
6,1998,"1","1","unique","1",1
7,1998,"1","1","unique","1",1
8,1998,"1","1","unique","1",1
9,1998,"1","1","unique","1",1
10,1998,"1","1","unique","1",1
11,1998,"1","1","unique","1",1
12,1998,"1","1","unique","1",1
1,1999,"1","1","unique","1",1
2,1999,"1","1","unique","1",1
3,1999,"1","1","unique","1",0.0671648071761886
4,1999,"1","1","unique","1",0.21927851780896
5,1999,"1","1","unique","1",1
6,1999,"1","1","unique","1",1
7,1999,"1","1","unique","1",1
8,1999,"1","1","unique","1",1
9,1999,"1","1","unique","1",1
10,1999,"1","1","unique","1",1
11,1999,"1","1","unique","1",1
12,1999,"1","1","unique","1",1
1,2000,"1","1","unique","1",1
2,2000,"1","1","unique","1",1
3,2000,"1","1","unique","1",1
4,2000,"1","1","unique","1",1
5,2000,"1","1","unique","1",0.0924205034341818
6,2000,"1","1","unique","1",0.286381646996047
7,2000,"1","1","unique","1",0.50885753924725
8,2000,"1","1","unique","1",1
9,2000,"1","1","unique","1",1
10,2000,"1","1","unique","1",1
11,2000,"1","1","unique","1",1
12,2000,"1","1","unique","1",1
1,2001,"1","1","unique","1",1
2,2001,"1","1","unique","1",1
3,2001,"1","1","unique","1",1
4,2001,"1","1","unique","1",0.367016561935398
5,2001,"1","1","unique","1",1
6,2001,"1","1","unique","1",1
7,2001,"1","1","unique","1",1
8,2001,"1","1","unique","1",1
9,2001,"1","1","unique","1",1
10,2001,"1","1","unique","1",1
11,2001,"1","1","unique","1",1
12,2001,"1","1","unique","1",1
1,2002,"1","1","unique","1",1
2,2002,"1","1","unique","1",1
3,2002,"1","1","unique","1",0.239836278620496
4,2002,"1","1","unique","1",0.463950151872858
5,2002,"1","1","unique","1",1
6,2002,"1","1","unique","1",1
7,2002,"1","1","unique","1",1
8,2002,"1","1","unique","1",1
9,2002,"1","1","unique","1",1
10,2002,"1","1","unique","1",1
11,2002,"1","1","unique","1",1
12,2002,"1","1","unique","1",1
1,2003,"1","1","unique","1",1
2,2003,"1","1","unique","1",1
3,2003,"1","1","unique","1",1
4,2003,"1","1","unique","1",1
5,2003,"1","1","unique","1",0.490472048491842
6,2003,"1","1","unique","1",0.624617129259593
7,2003,"1","1","unique","1",1
8,2003,"1","1","unique","1",1
9,2003,"1","1","unique","1",1
10,2003,"1","1","unique","1",1
11,2003,"1","1","unique","1",1
12,2003,"1","1","unique","1",1
1,2004,"1","1","unique","1",1
2,2004,"1","1","unique","1",1
3,2004,"1","1","unique","1",1
4,2004,"1","1","unique","1",1
