"age","year","unit","season","area","iter","data"
1,1990,"1","1","unique","1",1
2,1990,"1","1","unique","1",0.457141956579964
3,1990,"1","1","unique","1",0.343232272736344
4,1990,"1","1","unique","1",0.496451036304972
5,1990,"1","1","unique","1",0.667990134738195
6,1990,"1","1","unique","1",0.49115500057228
7,1990,"1","1","unique","1",0.454012648238356
8,1990,"1","1","unique","1",0.338770183696134
9,1990,"1","1","unique","1",0.284296608487642
10,1990,"1","1","unique","1",0.451459647452705
11,1990,"1","1","unique","1",0.173026177984634
12,1990,"1","1","unique","1",0.176692868998034
1,1991,"1","1","unique","1",1
2,1991,"1","1","unique","1",1
3,1991,"1","1","unique","1",0.571367021240842
4,1991,"1","1","unique","1",0.328815649053352
5,1991,"1","1","unique","1",0.326105023701546
6,1991,"1","1","unique","1",0.177529887166717
7,1991,"1","1","unique","1",0.133193409078665
8,1991,"1","1","unique","1",0.251835779052191
9,1991,"1","1","unique","1",0.319164188158549
10,1991,"1","1","unique","1",0.321769544780077
11,1991,"1","1","unique","1",0.395115726815206
12,1991,"1","1","unique","1",0.401520466749353
1,1992,"1","1","unique","1",0.370980359231216
2,1992,"1","1","unique","1",0.474225702640684
3,1992,"1","1","unique","1",0.40897330994006
4,1992,"1","1","unique","1",0.304034174229586
5,1992,"1","1","unique","1",0.30760548669781
6,1992,"1","1","unique","1",0.36871364736496
7,1992,"1","1","unique","1",0.312646031121853
8,1992,"1","1","unique","1",0.36521732265076
9,1992,"1","1","unique","1",0.358388363609023
10,1992,"1","1","unique","1",0.253163752145345
11,1992,"1","1","unique","1",0.412844342727184
12,1992,"1","1","unique","1",0.42132762404192
1,1993,"1","1","unique","1",1
2,1993,"1","1","unique","1",1
3,1993,"1","1","unique","1",0.270192520784587
4,1993,"1","1","unique","1",0.000462525848587414
5,1993,"1","1","unique","1",0.357906412000291
6,1993,"1","1","unique","1",0.0745711404957857
7,1993,"1","1","unique","1",0.0696366135126605
8,1993,"1","1","unique","1",1
9,1993,"1","1","unique","1",1
10,1993,"1","1","unique","1",1
11,1993,"1","1","unique","1",1
12,1993,"1","1","unique","1",0.271561340119488
1,1994,"1","1","unique","1",0.273577669496321
2,1994,"1","1","unique","1",0.449711192564212
3,1994,"1","1","unique","1",0.499579639121563
4,1994,"1","1","unique","1",0.103757143925067
5,1994,"1","1","unique","1",0.146082875980147
6,1994,"1","1","unique","1",1
7,1994,"1","1","unique","1",1
8,1994,"1","1","unique","1",1
9,1994,"1","1","unique","1",1
10,1994,"1","1","unique","1",1
11,1994,"1","1","unique","1",1
12,1994,"1","1","unique","1",0.0891334063036149
1,1995,"1","1","unique","1",1
2,1995,"1","1","unique","1",0.445487047239217
3,1995,"1","1","unique","1",0.388239182420169
4,1995,"1","1","unique","1",0.362752356167405
5,1995,"1","1","unique","1",0.280165093901505
6,1995,"1","1","unique","1",0.230007536976309
7,1995,"1","1","unique","1",0.265528184071134
8,1995,"1","1","unique","1",0.315162461298932
9,1995,"1","1","unique","1",0.333561210014259
10,1995,"1","1","unique","1",0.299693068468497
11,1995,"1","1","unique","1",0.196767398566854
12,1995,"1","1","unique","1",0.202575072275065
1,1996,"1","1","unique","1",0.109083213451487
2,1996,"1","1","unique","1",0.147090757342955
3,1996,"1","1","unique","1",0.301097145314483
4,1996,"1","1","unique","1",0.137940009758786
5,1996,"1","1","unique","1",0.0177258492583118
6,1996,"1","1","unique","1",0.0330340856103098
7,1996,"1","1","unique","1",0.138656854443469
8,1996,"1","1","unique","1",0.21895768086445
9,1996,"1","1","unique","1",0.1898577003471
10,1996,"1","1","unique","1",0.190927341393559
11,1996,"1","1","unique","1",0.0886516618664699
12,1996,"1","1","unique","1",0.0922180435143639
1,1997,"1","1","unique","1",1
2,1997,"1","1","unique","1",1
3,1997,"1","1","unique","1",0.0765862382771132
4,1997,"1","1","unique","1",0.0779815526330726
5,1997,"1","1","unique","1",0.0752423268511961
6,1997,"1","1","unique","1",0.0224980987655176
7,1997,"1","1","unique","1",1
8,1997,"1","1","unique","1",1
9,1997,"1","1","unique","1",0.00191764168891351
10,1997,"1","1","unique","1",1
11,1997,"1","1","unique","1",1
12,1997,"1","1","unique","1",1
1,1998,"1","1","unique","1",0.278971616282515
2,1998,"1","1","unique","1",0.341075769851833
3,1998,"1","1","unique","1",0.355469447615762
4,1998,"1","1","unique","1",0.360587005467796
5,1998,"1","1","unique","1",0.328224908453101
6,1998,"1","1","unique","1",0.234497122008581
7,1998,"1","1","unique","1",0.236383640216512
8,1998,"1","1","unique","1",0.270024462542069
9,1998,"1","1","unique","1",0.214843251293679
10,1998,"1","1","unique","1",0.217382900544952
11,1998,"1","1","unique","1",0.204007172093242
12,1998,"1","1","unique","1",0.207873024936965
1,1999,"1","1","unique","1",0.212247890401978
2,1999,"1","1","unique","1",0.263282740818646
3,1999,"1","1","unique","1",0.347918224500088
4,1999,"1","1","unique","1",0.277547774169963
5,1999,"1","1","unique","1",1
6,1999,"1","1","unique","1",0.0485722933430582
7,1999,"1","1","unique","1",0.145544992446756
8,1999,"1","1","unique","1",0.150820290659497
9,1999,"1","1","unique","1",0.0610798464141137
10,1999,"1","1","unique","1",0.123500519630487
11,1999,"1","1","unique","1",0.228707828706861
12,1999,"1","1","unique","1",0.232702243785333
1,2000,"1","1","unique","1",1
2,2000,"1","1","unique","1",1
3,2000,"1","1","unique","1",1
4,2000,"1","1","unique","1",1
5,2000,"1","1","unique","1",1
6,2000,"1","1","unique","1",1
7,2000,"1","1","unique","1",1
8,2000,"1","1","unique","1",1
9,2000,"1","1","unique","1",1
10,2000,"1","1","unique","1",1
11,2000,"1","1","unique","1",1
12,2000,"1","1","unique","1",1
1,2001,"1","1","unique","1",1
2,2001,"1","1","unique","1",0.441058245917081
3,2001,"1","1","unique","1",0.401772110601757
4,2001,"1","1","unique","1",0.377218087392586
5,2001,"1","1","unique","1",0.327942549841214
6,2001,"1","1","unique","1",0.275672421162428
7,2001,"1","1","unique","1",0.185390664271957
8,2001,"1","1","unique","1",0.210769898629553
9,2001,"1","1","unique","1",0.188113310591746
10,2001,"1","1","unique","1",0.135434926882703
11,2001,"1","1","unique","1",0.155273226385963
12,2001,"1","1","unique","1",0.157755191667562
1,2002,"1","1","unique","1",1
2,2002,"1","1","unique","1",0.622166500064451
3,2002,"1","1","unique","1",0.585171126033128
4,2002,"1","1","unique","1",0.4736587812237
5,2002,"1","1","unique","1",0.386632685020499
6,2002,"1","1","unique","1",0.28159770391982
7,2002,"1","1","unique","1",0.201188105113327
8,2002,"1","1","unique","1",0.202758168691758
9,2002,"1","1","unique","1",0.286124558565467
10,2002,"1","1","unique","1",0.175920249118563
11,2002,"1","1","unique","1",0.0833962924073179
12,2002,"1","1","unique","1",0.086615888422512
1,2003,"1","1","unique","1",1
2,2003,"1","1","unique","1",0.0374754737596386
3,2003,"1","1","unique","1",0.109181878144766
4,2003,"1","1","unique","1",0.154979934161146
5,2003,"1","1","unique","1",0.283087767408608
6,2003,"1","1","unique","1",0.342984129755161
7,2003,"1","1","unique","1",0.210089185997495
8,2003,"1","1","unique","1",0.262105777675403
9,2003,"1","1","unique","1",0.28866990150272
10,2003,"1","1","unique","1",0.263131225236569
11,2003,"1","1","unique","1",0.287412114418356
