"age","year","unit","season","area","iter","data"
1,1990,"1","1","unique","1",9.27687112655286e-10
2,1990,"1","1","unique","1",3.34463620982785e-05
3,1990,"1","1","unique","1",0.000514726417292033
4,1990,"1","1","unique","1",0.0118754334791299
5,1990,"1","1","unique","1",0.000393041812939187
6,1990,"1","1","unique","1",0.00139621396790071
7,1990,"1","1","unique","1",0.000956094389915797
8,1990,"1","1","unique","1",0.00145173599829812
9,1990,"1","1","unique","1",0.0045137105783809
10,1990,"1","1","unique","1",0.000388169693798445
11,1990,"1","1","unique","1",0.0323362743611586
12,1990,"1","1","unique","1",0.0309769383111015
1,1991,"1","1","unique","1",8.72438626405216e-10
2,1991,"1","1","unique","1",1.97881659380761e-06
3,1991,"1","1","unique","1",0.000954099630247036
4,1991,"1","1","unique","1",0.000856020885295104
5,1991,"1","1","unique","1",0.0144225615983603
6,1991,"1","1","unique","1",0.0125038332746447
7,1991,"1","1","unique","1",0.02939396551238
8,1991,"1","1","unique","1",0.00564310756476628
9,1991,"1","1","unique","1",0.00248853816393925
10,1991,"1","1","unique","1",0.00280137837338928
11,1991,"1","1","unique","1",0.000877858324144507
12,1991,"1","1","unique","1",0.000804011881143001
1,1992,"1","1","unique","1",2.04717151658604e-05
2,1992,"1","1","unique","1",2.64828476245835e-05
3,1992,"1","1","unique","1",0.00660924337606068
4,1992,"1","1","unique","1",0.00123775440457894
5,1992,"1","1","unique","1",0.00135904590015546
6,1992,"1","1","unique","1",0.000574389253895874
7,1992,"1","1","unique","1",0.00161338812286588
8,1992,"1","1","unique","1",0.000875883254316742
9,1992,"1","1","unique","1",0.00126117020245434
10,1992,"1","1","unique","1",0.00791524747793556
11,1992,"1","1","unique","1",0.000642215165978287
12,1992,"1","1","unique","1",0.000568499100490589
1,1993,"1","1","unique","1",7.32346821488223e-10
2,1993,"1","1","unique","1",5.18585927562332e-09
3,1993,"1","1","unique","1",0.00146983998910563
4,1993,"1","1","unique","1",0.152862617564495
5,1993,"1","1","unique","1",0.0148219434056548
6,1993,"1","1","unique","1",0.0623224114154195
7,1993,"1","1","unique","1",0.0775638867404188
8,1993,"1","1","unique","1",2.27264685467642e-07
9,1993,"1","1","unique","1",4.73683897814373e-08
10,1993,"1","1","unique","1",5.84286261761533e-08
11,1993,"1","1","unique","1",6.04682808696613e-08
12,1993,"1","1","unique","1",0.0065843575530768
1,1994,"1","1","unique","1",9.28621564055393e-05
2,1994,"1","1","unique","1",3.57080282243815e-05
3,1994,"1","1","unique","1",0.00958269404829224
4,1994,"1","1","unique","1",0.0291508748506951
5,1994,"1","1","unique","1",0.331555797028252
6,1994,"1","1","unique","1",2.21715703138611e-08
7,1994,"1","1","unique","1",1.10997326843801e-06
