country,year,metier,fleet,stock,category,catch
PT,2015,CRU_55_0_0,PT_OTB,HKE,discards,39
PT,2016,CRU_55_0_0,PT_OTB,HKE,discards,79
PT,2017,CRU_55_0_0,PT_OTB,HKE,discards,11
SP,2014,DEF_65_0_0,SP_OTB,HKE,discards,787
PT,2015,DEF_65_0_0,PT_OTB,HKE,discards,192
SP,2015,DEF_65_0_0,SP_OTB,HKE,discards,817
PT,2016,DEF_65_0_0,PT_OTB,HKE,discards,85
SP,2016,DEF_65_0_0,SP_OTB,HKE,discards,287
PT,2017,DEF_65_0_0,PT_OTB,HKE,discards,233
SP,2017,DEF_65_0_0,SP_OTB,HKE,discards,257
SP,2014,MPD_55_0_0,SP_OTB,HKE,discards,129
SP,2015,MPD_55_0_0,SP_OTB,HKE,discards,351
SP,2016,MPD_55_0_0,SP_OTB,HKE,discards,88
SP,2017,MPD_55_0_0,SP_OTB,HKE,discards,173
SP,2014,MPD_55_0_0,SP_PTB,HKE,discards,1041
SP,2015,MPD_55_0_0,SP_PTB,HKE,discards,818
SP,2016,MPD_55_0_0,SP_PTB,HKE,discards,1725
SP,2017,MPD_55_0_0,SP_PTB,HKE,discards,854
SP,2015,DEF_65_0_0,SP_OTB,LDB,discards,594
SP,2016,DEF_65_0_0,SP_OTB,LDB,discards,328
SP,2017,DEF_65_0_0,SP_OTB,LDB,discards,225
SP,2015,MPD_55_0_0,SP_OTB,LDB,discards,2
SP,2016,MPD_55_0_0,SP_OTB,LDB,discards,2
SP,2017,MPD_55_0_0,SP_OTB,LDB,discards,20
SP,2016,MPD_55_0_0,SP_PTB,LDB,discards,0
SP,2017,MPD_55_0_0,SP_PTB,LDB,discards,1
SP,2015,DEF_65_0_0,SP_OTB,MEG,discards,21
SP,2016,DEF_65_0_0,SP_OTB,MEG,discards,63
SP,2017,DEF_65_0_0,SP_OTB,MEG,discards,37
SP,2017,MPD_55_0_0,SP_OTB,MEG,discards,0
SP,2016,MPD_55_0_0,SP_PTB,MEG,discards,0
SP,2017,MPD_55_0_0,SP_PTB,MEG,discards,0
SP,2015,DEF_100_0_0,SP_GNS,HKE,landings,35
SP,2016,DEF_100_0_0,SP_GNS,HKE,landings,25
SP,2017,DEF_100_0_0,SP_GNS,HKE,landings,49
PT,2014,DEF_0_0_0,PT_GNS,HKE,landings,51
PT,2015,DEF_0_0_0,PT_GNS,HKE,landings,21
PT,2016,DEF_0_0_0,PT_GNS,HKE,landings,23
PT,2017,DEF_0_0_0,PT_GNS,HKE,landings,12
SP,2014,DEF_60_79_0_0,SP_GNS,HKE,landings,468
SP,2015,DEF_60_79_0_0,SP_GNS,HKE,landings,536
SP,2016,DEF_60_79_0_0,SP_GNS,HKE,landings,687
SP,2017,DEF_60_79_0_0,SP_GNS,HKE,landings,536
SP,2014,DEF_80_99_0_0,SP_GNS,HKE,landings,2171
SP,2015,DEF_80_99_0_0,SP_GNS,HKE,landings,1490
SP,2016,DEF_80_99_0_0,SP_GNS,HKE,landings,1971
SP,2017,DEF_80_99_0_0,SP_GNS,HKE,landings,1745
PT,2014,DEF_0_0_0,PT_GTR,HKE,landings,46
PT,2015,DEF_0_0_0,PT_GTR,HKE,landings,18
PT,2016,DEF_0_0_0,PT_GTR,HKE,landings,18
PT,2017,DEF_0_0_0,PT_GTR,HKE,landings,99
SP,2015,DEF_60_79_0_0,SP_GTR,HKE,landings,135
SP,2016,DEF_60_79_0_0,SP_GTR,HKE,landings,335
SP,2017,DEF_60_79_0_0,SP_GTR,HKE,landings,113
SP,2014,DEF_0_0_0,SP_LLS,HKE,landings,1604
SP,2015,DEF_0_0_0,SP_LLS,HKE,landings,1831
SP,2016,DEF_0_0_0,SP_LLS,HKE,landings,1473
SP,2017,DEF_0_0_0,SP_LLS,HKE,landings,1714
PT,2014,MIS_0_0_0_HC,PT_MIS,HKE,landings,1615
SP,2014,MIS_0_0_0_HC,SP_MIS,HKE,landings,355
PT,2015,MIS_0_0_0_HC,PT_MIS,HKE,landings,1198
SP,2015,MIS_0_0_0_HC,SP_MIS,HKE,landings,287
PT,2016,MIS_0_0_0_HC,PT_MIS,HKE,landings,1180
SP,2016,MIS_0_0_0_HC,SP_MIS,HKE,landings,117
PT,2017,MIS_0_0_0_HC,PT_MIS,HKE,landings,490
SP,2017,MIS_0_0_0_HC,SP_MIS,HKE,landings,69
PT,2014,CRU_55_0_0,PT_OTB,HKE,landings,55
PT,2015,CRU_55_0_0,PT_OTB,HKE,landings,67
PT,2016,CRU_55_0_0,PT_OTB,HKE,landings,105
PT,2017,CRU_55_0_0,PT_OTB,HKE,landings,46
PT,2014,DEF_65_0_0,PT_OTB,HKE,landings,606
SP,2014,DEF_65_0_0,SP_OTB,HKE,landings,1491
PT,2015,DEF_65_0_0,PT_OTB,HKE,landings,695
SP,2015,DEF_65_0_0,SP_OTB,HKE,landings,1275
PT,2016,DEF_65_0_0,PT_OTB,HKE,landings,646
SP,2016,DEF_65_0_0,SP_OTB,HKE,landings,1440
PT,2017,DEF_65_0_0,PT_OTB,HKE,landings,544
SP,2017,DEF_65_0_0,SP_OTB,HKE,landings,1009
SP,2014,MPD_55_0_0,SP_OTB,HKE,landings,165
SP,2015,MPD_55_0_0,SP_OTB,HKE,landings,308
SP,2016,MPD_55_0_0,SP_OTB,HKE,landings,422
SP,2017,MPD_55_0_0,SP_OTB,HKE,landings,300
SP,2014,MCD_55_0_0,SP_OTB_24m,HKE,landings,808
SP,2015,MCD_55_0_0,SP_OTB_24m,HKE,landings,660
SP,2016,MCD_55_0_0,SP_OTB_24m,HKE,landings,742
SP,2017,MCD_55_0_0,SP_OTB_24m,HKE,landings,486
OTH,2014,OTH,OTH_OTH,HKE,landings,136
OTH,2015,OTH,OTH_OTH,HKE,landings,238
OTH,2016,OTH,OTH_OTH,HKE,landings,233
OTH,2017,OTH,OTH_OTH,HKE,landings,361
SP,2014,MPD_55_0_0,SP_PTB,HKE,landings,2439
SP,2015,MPD_55_0_0,SP_PTB,HKE,landings,2990
SP,2016,MPD_55_0_0,SP_PTB,HKE,landings,3025
SP,2017,MPD_55_0_0,SP_PTB,HKE,landings,1599
SP,2015,DEF_100_0_0,SP_GNS,LDB,landings,10
SP,2016,DEF_100_0_0,SP_GNS,LDB,landings,0
PT,2014,DEF_0_0_0,PT_GNS,LDB,landings,1
PT,2015,DEF_0_0_0,PT_GNS,LDB,landings,1
PT,2016,DEF_0_0_0,PT_GNS,LDB,landings,1
PT,2017,DEF_0_0_0,PT_GNS,LDB,landings,0
SP,2015,DEF_60_79_0_0,SP_GNS,LDB,landings,3
SP,2016,DEF_60_79_0_0,SP_GNS,LDB,landings,1
SP,2017,DEF_60_79_0_0,SP_GNS,LDB,landings,2
SP,2015,DEF_80_99_0_0,SP_GNS,LDB,landings,20
SP,2016,DEF_80_99_0_0,SP_GNS,LDB,landings,16
SP,2017,DEF_80_99_0_0,SP_GNS,LDB,landings,2
PT,2014,DEF_0_0_0,PT_GTR,LDB,landings,3
