Haddock in IV and IIIa(N) (WGNSSK 2012): Total catch yield	
1	1
1963	2011
0	15
5	
271849	
379915	
299344	
346347	
246664	
301822	
930043	
805777	
446825	
353083	
307593	
366992	
453205	
375308	
224516	
179377	
145022	
222129	
213241	
233283	
244215	
218948	
255367	
223080	
173852	
173124	
106532	
88936	
93282	
131653	
172549	
151022	
142557	
156623	
141291	
131331	
112012	
104527	
167060	
107917	
66792	
64800	
57181	
56058	
59603	
43644	
43374	
39612	
48141

